Round,mse,rmse,mae,ma_percentage_error,std_dev
1,397.28410683240406,19.931987026696664,18.602321768741028,6.25648220608861,12.653876352416429
2,230.00082217766032,15.16577799447362,13.233774336811006,4.373826312720177,12.058549605522789
3,123.51653304764098,11.113799217533174,7.739045645427306,2.439906348109498,10.78768407226504
4,114.16424808307615,10.68476710476537,7.757306215277447,2.4615702530657417,10.209794885852743
5,97.69570950981883,9.884113997208795,6.93623821740208,2.1889060947089543,9.617817940738135
6,106.04396688943022,10.297765140525891,6.660807719991588,2.0682121131855857,10.241382260769981
7,100.2682096754878,10.013401503759239,6.327322161765589,1.9543628146681495,9.995451698429429
8,90.9808451202121,9.538387972829167,5.6342210596966495,1.7047781463687297,9.418583974443653
9,94.75068001445271,9.733996096899398,5.994830128209197,1.8424741689998685,9.730961754832189
10,90.61148090158738,9.519006298011751,5.8015355583966555,1.77798149844313,9.512736011739289
